key,name
historical,Historical
parks,Parks
fresh_air,Fresh Air
education,Education
technology,Technology
modern,Modern
innovation,Innovation
services,Services
healthcare,Healthcare
transportation,Transportation
community,Community
recreation,Recreation
outdoor,Outdoor
active,Active
comprehensive,Comprehensive
